a        | 啊  | Particle                       → Oh                             (O)
du       | 督  | Monitor                        → To                             (T)
du       | 嘟  | Mumble                         → To                             (T)
du       | 独  | Alone                          → To                             (T)
du       | 都  | All                            → It                             (I)
du       | 读  | Read                           → To                             (T)
du       | 渎  | River                          → Yandu                          (Y)
du       | 杜  | Cypress                        → Xiao                           (X)
du       | 渡  | Cross                          → To                             (T)
du       | 镀  | Coat                           → Nickel                         (N)
du       | 肚  | Belly                          → Yu                             (Y)
du       | 赌  | Bet                            → Game                           (G)
du       | 堵  | Block                          → To                             (T)
du       | 睹  | See                            → To                             (T)
du       | 笃  | Sincere                        → To                             (T)
duan     | 短  | Short                          → To                             (T)
duan     | 锻  | Forge                          → To                             (T)
duan     | 煅  | Forge                          → Calcination                    (C)
dun      | 盾  | Shield                         → Ethnic                         (E)
dun      | 敦  | Sincere                        → Zhu                            (Z)
dun      | 炖  | Stew                           → Braised                        (B)
dun      | 囤  | Store                          → Hoard                          (H)
dun      | 沌  | Muddled                        → Hunduntianshen                 (H)
dun      | 墩  | Mound                          → Round                          (R)
dun      | 钝  | Dull                           → Lu                             (L)
duo      | 多  | Many                           → At                             (A)
duo      | 度  | Measure                        → Du                             (D)
duo      | 躲  | Hide                           → Avoid                          (A)
duo      | 舵  | Helm                           → Rudder                         (R)
duo      | 朵  | Flower                         → One                            (O)
duo      | 堕  | Fall                           → Willing                        (W)
duo      | 夺  | Seize                          → Win                            (W)
duo      | 哆  | Tremble                        → Vitamin                        (V)
duo      | 垛  | Pile                           → Duozi                          (D)
e        | 鄂  | Hubei                          → Ob                             (O)
e        | 遏  | Stop                           → To                             (T)
e        | 谔  | Straightforward                → Wange                          (W)
e        | 鹅  | Goose                          → White                          (W)
e        | 扼  | Grasp                          → To                             (T)
e        | 婀  | Graceful                       → Zhangenuo                      (Z)
e        | 噩  | Bad                            → Nightmare                      (N)
e        | 娥  | Beautiful                      → The                            (T)
e        | 阏  | Block                          → Wife                           (W)
e        | 锷  | Blade                          → Tsai                           (T)
e        | 萼  | Calyx                          → Zhenge                         (Z)
e        | 阿  | Prefix                         → To                             (T)
er       | 耳  | Ear                            → Zhu                            (Z)
er       | 洱  | Erhai Lake                     → Pu-erh                         (P)
fa       | 法  | Law                            → Fa                             (F)
fa       | 乏  | Lack                           → Not                            (N)
fan      | 翻  | Turn                           → One                            (O)
fan      | 烦  | Tired                          → Upset                          (U)
fan      | 反  | Reverse                        → On                             (O)
fan      | 饭  | Rice                           → In                             (I)
fan      | 返  | Return                         → Gone                           (G)
fan      | 凡  | All                            → In                             (I)
fan      | 矾  | Alum                           → Green                          (G)
fan      | 番  | Foreign                        → Panyu                          (P)
fan      | 泛  | Float                          → Vague                          (V)
fan      | 樊  | Fence                          → Zhufan                         (Z)
fan      | 藩  | Fence                          → 藩王                             (藩)
fan      | 蕃  | Foreign                        → Lifan                          (L)
fan      | 帆  | Sail                           → Yang                           (Y)
fan      | 贩  | Sell                           → Drug                           (D)
fang     | 防  | Defend                         → Gas                            (G)
fang     | 方  | Direction                      → Ci                             (C)
fang     | 芳  | Fragrant                       → To                             (T)
fang     | 肪  | Fat                            → Adipose                        (A)
fei      | 飞  | Fly                            → To                             (T)
fei      | 肥  | Fat                            → To                             (T)
fei      | 蜚  | Fly                            → Internationally                (I)
fei      | 费  | Cost                           → To                             (T)
fei      | 妃  | Concubine                      → The                            (T)
fei      | 绯  | Crimson                        → Romance                        (R)
fei      | 菲  | Humble                         → Very                           (V)
fei      | 匪  | Bandit                         → To                             (T)
fei      | 沸  | Boil                           → Zeolite                        (Z)
fei      | 吠  | Bark                           → Vedas                          (V)
fei      | 扉  | Door                           → Gate                           (G)
fen      | 分  | Part                           → Wan                            (W)
fen      | 份  | Portion                        → Year                           (Y)
fen      | 酚  | Phenol                         → O-benzoquinone                 (O)
fen      | 奋  | Strive                         → Zou                            (Z)
fen      | 芬  | Scent                          → Gu                             (G)
fen      | 愤  | Angry                          → Rage                           (R)
fen      | 粉  | Flour                          → Red                            (R)
fen      | 汾  | Fen River                      → Linfen                         (L)
feng     | 封  | Seal                           → To                             (T)
feng     | 冯  | Surname                        → Feng                           (F)
feng     | 缝  | Sew                            → To                             (T)
feng     | 凤  | Phoenix                        → Xi                             (X)
feng     | 峰  | Peak                           → Li                             (L)
feng     | 疯  | Mad                            → To                             (T)
feng     | 枫  | Maple                          → Xufeng                         (X)
feng     | 逢  | Meet                           → To                             (T)
feng     | 讽  | Mock                           → Cold                           (C)
feng     | 蜂  | Bee                            → To                             (T)
feng     | 烽  | Beacon                         → Fengsui                        (F)
fu       | 服  | Wear                           → Zifu                           (Z)
fu       | 妇  | Wife                           → Young                          (Y)
fu       | 幅  | Width                          → Zhengguo                       (Z)
fu       | 夫  | Man                            → Yu                             (Y)
fu       | 府  | Mansion                        → Xifu                           (X)
fu       | 阜  | Mound                          → Qufu                           (Q)
fu       | 复  | Repeat                         → Yan                            (Y)
fu       | 富  | Rich                           → Xinfu                          (X)
fu       | 福  | Fortune                        → Zifu                           (Z)
fu       | 浮  | Float                          → Qijifututa                     (Q)
fu       | 涪  | Fu River                       → 涪陵                             (涪)
fu       | 负  | Owe                            → unbearable                     (u)
fu       | 付  | Pay                            → Xian                           (X)
fu       | 辅  | Assist                         → Kyiv                           (K)
fu       | 伏  | Submit                         → Ups                            (U)
